"Activity" "Subject" "x"
"STANDING" 20 0.278076904657534
"WALKING" 20 0.272589336470588
"WALKING_DOWNSTAIRS" 20 0.296144421355556
"WALKING_UPSTAIRS" 20 0.252098317156863
"LAYING" 21 0.271325472455556
"SITTING" 21 0.277539616823529
"STANDING" 21 0.27695224258427
"WALKING" 21 0.279183526730769
"WALKING_DOWNSTAIRS" 21 0.3014610196
"WALKING_UPSTAIRS" 21 0.265194544680851
"LAYING" 22 0.279959721194444
"SITTING" 22 0.273583822709677
"STANDING" 22 0.279053861587302
"WALKING" 22 0.27886459
"WALKING_DOWNSTAIRS" 22 0.284458963861111
"WALKING_UPSTAIRS" 22 0.248391534566667
"LAYING" 23 0.274038007986111
"SITTING" 23 0.273351251617647
"STANDING" 23 0.277899323235294
"WALKING" 23 0.273211884237288
"WALKING_DOWNSTAIRS" 23 0.289897411148148
"WALKING_UPSTAIRS" 23 0.249995171031373
"LAYING" 24 0.272850494930556
"SITTING" 24 0.273475690147059
"STANDING" 24 0.280348883913043
"WALKING" 24 0.276980816034483
"WALKING_DOWNSTAIRS" 24 0.288631208909091
"WALKING_UPSTAIRS" 24 0.269881106779661
"LAYING" 25 0.250791828613699
"SITTING" 25 0.278541482461538
"STANDING" 25 0.278013701621622
"WALKING" 25 0.278992759054054
"WALKING_DOWNSTAIRS" 25 0.291329666206897
"WALKING_UPSTAIRS" 25 0.277995411384615
"LAYING" 26 0.271645864540789
"SITTING" 26 0.258243530166667
"STANDING" 26 0.281127035405405
"WALKING" 26 0.279264443728814
"WALKING_DOWNSTAIRS" 26 0.2792845828
"WALKING_UPSTAIRS" 26 0.272691394545455
"LAYING" 27 0.274102492432432
"SITTING" 27 0.273941302571429
"STANDING" 27 0.279566921625
"WALKING" 27 0.276849485438596
"WALKING_DOWNSTAIRS" 27 0.2975441875
"WALKING_UPSTAIRS" 27 0.265770253921569
"LAYING" 28 0.2759134825
"SITTING" 28 0.276977629444444
"STANDING" 28 0.277795069113924
"WALKING" 28 0.281228223888889
"WALKING_DOWNSTAIRS" 28 0.293642076521739
"WALKING_UPSTAIRS" 28 0.262005841764706
"LAYING" 29 0.287295196811594
"SITTING" 29 0.2771799775
"STANDING" 29 0.277965065846154
"WALKING" 29 0.271999916792453
"WALKING_DOWNSTAIRS" 29 0.293140441083333
"WALKING_UPSTAIRS" 29 0.265423066877551
"LAYING" 30 0.281033900571429
"SITTING" 30 0.268336081379032
"STANDING" 30 0.277112699152542
"WALKING" 30 0.276406758
"WALKING_DOWNSTAIRS" 30 0.283190646967742
"WALKING_UPSTAIRS" 30 0.271415642261538
